participant, experiment, tstart, timebin, playlist, valid, annotator1, annotator2
Codes for participants: 1: Ayse 2: Buse 3: Esra 4: Gokhan 5: Merve,,,,,,,
Codes for experiments: 1: slide show 2: game (wisconsin card sorting) 3: video book,,,,,,,
Tstart is in min from the beginning of the webcam video,,,,,,,
Codes for time bin in analysis: 1: 5 10 2: 25 30 40 3: 50 60 70 4: 80 85 90 5: 100 105 110,,,,,,,
Codes for video validity: 1: valid 0: invalid (talking eating etc),,,,,,,
Codes for annotators: Annotator1: Ayse Annotator2: Gokhan,,,,,,,
,,,,,,,
4,1,70,3,10,1,5,4
3,3,10,1,10,1,1,2
1,2,60,3,10,1,2,2
3,1,110,5,10,1,3,2
2,3,40,2,10,1,2,3
4,1,25,2,10,1,5,4
3,3,85,4,10,1,1,2
3,2,5,1,10,0,1,3
3,2,70,3,10,1,2,3
5,1,110,5,11,0,0,0
2,3,80,4,11,1,2,3
3,3,70,3,11,1,1,2
2,1,90,4,11,1,5,5
3,3,5,1,11,1,1,2
4,3,110,5,11,1,1,3
3,3,40,2,11,1,1,3
4,3,90,4,11,1,2,3
4,2,40,2,11,1,1,2
5,2,60,3,11,1,1,2
3,1,90,4,11,1,3,3
2,3,30,2,11,1,2,3
5,3,60,3,11,1,3,4
4,3,25,2,11,1,2,4
5,2,80,4,11,1,2,2
3,3,105,5,11,1,2,3
2,2,5,1,11,1,2,3
4,3,10,1,11,1,2,3
5,2,70,3,11,1,2,3
3,2,85,4,12,1,4,3
3,3,90,4,12,1,1,2
5,1,40,2,12,1,4,5
3,1,15,1,12,1,5,5
2,1,50,3,12,1,5,5
4,1,90,4,12,1,2,4
5,3,70,3,12,1,3,4
2,2,70,3,12,1,3,3
3,2,30,2,12,1,2,2
1,1,40,2,12,1,1,3
2,1,70,3,12,1,4,5
2,3,50,3,12,1,2,2
3,3,100,5,12,1,2,3
5,1,85,4,12,1,4,5
1,1,25,2,12,1,1,3
5,1,30,2,12,1,3,4
